Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,AppleBro wrote: If you did then good for you. Because a lot of cannon fairy only know how to ask people to invest get more than cpf return but when ownself do is lose until pants drop. Posted from PCWX using Carousell @applebro2 Let PAP become thirsty then squeeze one drop of lemon for their lemonade,2/5/21,55,Circuit Breaker,55,3,-12.61809717,13,5,1,5.923821618,1,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Ya right i believe him,2/5/21,5,Circuit Breaker,5,0,-12.11253922,1,0,1,106.4913813,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"Perisher wrote: Exactly, learn how to walk... instead of falling into a pitfall. Learn proper investing before pushing $$ into a place stuck till retirement. I'm not comparing purely on money lost vs investing, think harder. Why you bother with an IB? Whites can do no wrong one hor",2/5/21,47,Circuit Breaker,48,2,-12.29856873,11,1,1,7.467550656,1,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"peterlim95 wrote: Bitcoin is not bao jiak leh.... All investments have risk... Cpf is practically risk free and be ur financial safety net.. CPF is not risk free. Like any fund, it can go broke. You don't know what is being invested though we know that Ho Ching has a hand in investing the money somewhere. Though it is not certain what she's investing in, she (or her kakis) has bought high and sold low several reported times. The only real difference about her fund and those commercial funds is that you typically can cash out at a certain point for commercial funds by selling it away. (Think ETFs) With the CPF, if the ship starts to sink, your money will sink with it. If it doesn't sink, you get your 4% which you cannot touch anyway until retirement. From the time you start working till retirement is like 30+ years (until the goalposts are shifted again) 30 years of 4% per annum which may sink along the way?!??!",2/5/21,162,Circuit Breaker,169,4,-11.46113059,38,6,6,2.355455951,0,0,1
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Cut_throat wrote: later grow old but cannot take the money out of CPF don't kpkb.,2/5/21,13,Circuit Breaker,15,1,-12.64308867,2,1,0,56.27175551,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Too much such articles recently made me feel government running low on cash,2/5/21,13,Circuit Breaker,13,1,-11.43142311,3,0,1,36.26203009,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,You won't even know if you can live long to see your retirement. What's the pt of doing it,2/5/21,17,Circuit Breaker,19,1,-10.13550473,5,1,2,56.27175551,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Taking out to pay atb for hdly?,2/5/21,7,Circuit Breaker,7,0,-13.1052924,2,0,0,106.4913813,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Dumb ass Never use brain. Just blindly follow what gahmen say,2/5/21,11,Circuit Breaker,11,1,-13.70184493,2,0,0,14.10040367,2,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,cpf can see cannot touch,2/5/21,5,Circuit Breaker,5,0,-12.86374797,2,0,0,106.4913813,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"Once the money goes into SA, cannot touch and wait until you are almost 2 legs into The Coffin.",2/5/21,18,Circuit Breaker,19,1,-11.52701647,2,1,1,26.8352074,3,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Putting cash in cpf nao!,2/5/21,5,Circuit Breaker,5,0,-15.44322576,1,0,0,56.27175551,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,mrclubbie wrote: cpf can see cannot touch Likely the engineer predict he can live to 100yrs,2/5/21,15,Circuit Breaker,16,1,-13.4626788,4,0,0,56.27175551,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,To all singaporeans who top up their CPF. THANK YOU FOR YOUR NATION BUILDING & SACRIFICE CECA & CO. thanks you deeply,2/5/21,20,Circuit Breaker,20,1,-15.76718103,2,0,2,10.49172631,2,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,\u5403\u732a\u8d54\u72d7\uff0c the system will collapse if everyone withdraw at the same time.... New citizens are needed for contribution now because their CPF withdrawal will be kicked down the road 30-40 years time.....,2/5/21,31,Circuit Breaker,36,2,-13.05500389,5,1,0,7.783979577,1,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Actually cpf interest is really good. Just that put in cannot take out unless u give up citizenship,2/5/21,18,Circuit Breaker,18,1,-11.53294339,4,0,0,56.27175551,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,This engineer related to Ashley Wu?,2/5/21,6,Circuit Breaker,6,0,-12.07544189,1,0,0,36.84829056,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"AppleBro wrote: If you did then good for you. Because a lot of cannon fairy only know how to ask people to invest get more than cpf return but when ownself do is lose until pants drop. Posted from PCWX using Carousell @applebro2 S&P500 has outperform CPF SA 4% by close to 600 bps since 1980s... even if you are the biggest retard and invest at the very top in 2008, the market index would have outperform cpf sa by 300 bps almost DOUBLE the return of cpf. So you tell me lorh. Last year my portfolio double digit return also. CPF OA  only 2.5 %",2/5/21,98,Circuit Breaker,106,4,-12.74637189,17,7,5,3.069156894,0,0,1
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,CPF used to be a good scheme in the past until post shifting game started. What a shame!!!!!!,2/5/21,18,Circuit Breaker,18,1,-10.545215,4,0,0,20.83225589,3,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,How to do cpf refund to repay the Oa that was used for housing loans?,2/5/21,15,Circuit Breaker,15,1,-11.8508527,6,0,0,36.84829056,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"PaulLevesque wrote: Why you bother with an IB? Whites can do no wrong one hor Because pappies know even their dull boring sti index couldn't even save them from milking the glcs, birds rats, etc, so they want to brainwash sinnkiees to keep monies in cpf and avoid throwing monies overseas",2/5/21,50,Circuit Breaker,51,3,-13.89955784,14,1,1,5.557846741,1,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"Shiro Neko wrote: S&P500 has outperform CPF SA 4% by close to 600 bps since 1980s... even if you are the biggest retard and invest at the very top in 2008, the market index would have outperform cpf sa by 300 bps almost DOUBLE the return of cpf. So you tell me lorh. Last year my portfolio double digit return also. CPF OA  only 2.5 % Funnily enough,  you can cash out at any time. Not just at retirement",2/5/21,72,Circuit Breaker,80,3,-12.85842763,7,3,5,3.643774826,0,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Can withdraw cpf if out of job meh?,2/5/21,8,Circuit Breaker,8,0,-13.19101733,2,1,0,56.27175551,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,xLupDup wrote: Can withdraw cpf if out of job meh? No. Onky partially when you retire.,2/5/21,16,Circuit Breaker,16,1,-13.28672322,3,2,1,36.84829056,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,By the time he retire the goalpost to withdraw shift until don't know where and can just look at it and feel rich.,2/5/21,22,Circuit Breaker,23,1,-10.18392667,5,1,0,36.84829056,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"dumb until cannot... During crisis... u still dont realise the value of COLD HARD CASH... i don't know when you will realise it. Once you put ur excess cash into CPF... and heng heng. ..you get retrenched... ur family needs the money ..and emergency fund of 3-6mths? getting used up.. u desperately seeking employment..with no light at the end of the tunnel.. then ..u. realised.. u got CPF money....... that you cannot draw out... Self-pwned to the max. and If you have a timeframe of 20-30yrs...  and you think you can locked it up in CPF for 2.5% to 4% without withdrawing.. Then.. you should have just put into an index ETF ... of US, China and Europe and then you will get the liquidity as wel. The downside is the risk of capital loss.. but we are talking about 20-30yrs.. not 5yrs.   Over 20years, if the index dont inch up.. u can be sure.. we are all farked either way",2/5/21,155,Circuit Breaker,162,4,-12.05371059,30,10,8,2.145363792,0,1,1
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,Funny all the CPF OA to SA supporters shut up after posting majority of CPF investors beat CPF returns.,2/5/21,19,Circuit Breaker,19,1,-14.07460904,3,0,0,10.63765204,2,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"Fatfool wrote: CPF is not risk free. Like any fund, it can go broke. You don't know what is being invested though we know that Ho Ching has a hand in investing the money somewhere. Though it is not certain what she's investing in, she (or her kakis) has bought high and sold low several reported times. The only real difference about her fund and those commercial funds is that you typically can cash out at a certain point for commercial funds by selling it away. (Think ETFs) With the CPF, if the ship starts to sink, your money will sink with it. If it doesn't sink, you get your 4% which you cannot touch anyway until retirement. From the time you start working till retirement is like 30+ years (until the goalposts are shifted again) 30 years of 4% per annum which may sink along the way?!??! Yes, u r right. When cpf interest rates starts dropping again, the world economy will be in a super bad shape, much worse than this covid-19 crisis. Many of u guys investments outta by then will be making losses.",2/8/21,180,Circuit Breaker,187,4,-11.27317062,39,6,6,2.005888598,0,0,1
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"The money u put there they also go invest. So why not do it yourself, no lock up",2/8/21,18,Circuit Breaker,18,1,-10.41728657,3,1,1,36.84829056,4,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,iSad. Today I found out I cannot transfer from my OA to SA anymore.,2/8/21,14,Circuit Breaker,14,1,-12.07021924,2,0,2,26.8352074,3,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"Zink00 wrote: The money u put there they also go invest. So why not do it yourself, no lock up because i buay kan. invested $100k in hyflux bonds and lost all. luckily my $20k invested in bitcoin sold at $300k recently. Lesson learnt: STI IS REALLY RUBBISH INDEX. LOLOLOL",2/8/21,47,Circuit Breaker,50,2,-14.01538586,9,2,3,6.224090908,1,0,0
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"So next time he will pay all cash when he buy a HDB flat? Since SA money cannot be touch and only OA can be used, after deducting the rest must pay cash. Doesn't sound like a good plan ...",2/8/21,38,Circuit Breaker,39,2,-11.41578427,7,3,0,9.903676034,1,0,1
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,"radioshack wrote: The circuit breaker period last year gave Mr Cuthbert Yeo, 29, more time to look into his finances, and the engineer decided to better utilise his Central Provident Fund (CPF) accounts. He voluntarily refunded the amount he had used from his Ordinary Account for his share of the down payment on his Housing Board flat, and transferred money from his Ordinary Account, which has a base interest rate of 2.5 per cent per year, to his Special Account, which has a base interest rate of 4 per cent per year. He had started moving cash to his Special Account from 2018, after reading a CPF Board annual report where a chart showed that many people in his age group had more in CPF savings than he did. At the time, Mr Yeo was two years into his first job, also in the engineering field. He then started topping up his CPF Special Account whenever he received a bonus from his employer. Since then, he has put in about $40,000 in both cash and transfers from his Ordinary Account. ""We should really build up a base of retirement savings while we're still young, especially now that the job market is not as stable with innovative disruption and it's not guaranteed that we can get a job we might want when we're older,"" he said. https://www.straitstimes.com/singapo...nary%20Account . wow 40k cash. jskms",2/8/21,220,Circuit Breaker,231,4,-11.56489334,31,10,1,1.32785477,0,1,1
Circuit breaker spurs 29-year-old to put more into his CPF accounts,2/8/21 15:06,AppleBro wrote: I like to see how many of you can actually beat the market return before you all shoot this guy off. Posted from PCWX using Carousell @applebro2 I did. my investment returns is >20%,2/8/21,34,Circuit Breaker,35,2,-11.51876057,9,0,3,12.05424284,2,0,0
"After WFH, got WFV",2/7/21 18:25,https://edition.cnn.com/style/articl...pod/index.html Quite claustrophobic imho Sent from Sinkieland using GAGT,2/7/21,8,Circuit Breaker,8,0,-17.74811177,1,0,0,16.87838266,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,we pay them millions for what... since they don't have the iron in them to do drastic measures...,6/8/20,17,Circuit Breaker,18,1,-9.746068105,4,0,0,36.16300906,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Something about no backbone and having to depend on other countries for business. Also no blame culture pls ty,6/8/20,19,Circuit Breaker,19,1,-11.66520853,3,1,0,16.87838266,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Why a female prime minister that costs 5 times less have the iron to do drastic measures early and saved her country from further economic damage but our team of ex SAF generals don't have the bone to be equally drastic?,6/8/20,39,Circuit Breaker,41,2,-11.21846808,7,2,1,7.993224595,1,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,they rather spend time to fix oppo and dissidents and activists,6/8/20,11,Circuit Breaker,11,1,-10.9314517,2,2,0,26.8352074,3,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"Well, I believe that government has considered carefully the calculated risk of a full lock down on our economy. We may not be able to afford a full lock-down. But I think not enforcing mask wearing early was obviously a mistake... but it has already happened and we just have to move on...",6/8/20,52,Circuit Breaker,53,3,-10.10147907,13,2,4,16.61032234,2,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,No robust data to indicate it will work 100%,6/8/20,8,Circuit Breaker,9,0,-10.48792947,2,0,0,106.4913813,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"If they had not overlooked the potential time bomb of the dormitories, their strategies would have largely worked.",6/8/20,18,Circuit Breaker,18,1,-10.30495463,4,0,0,26.8352074,3,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Becoz it's not their life in danger....... Posted from PCWX using SM-N970F,6/8/20,10,Circuit Breaker,12,1,-13.71535355,3,0,0,36.84829056,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"Shinji.Ikari wrote: we pay them millions for what... since they don't have the iron in them to do drastic measures... because they work on scientific evidence at that point of time, not whether you get a hard on in the morning or not. Hindsight is always 20/20. At least they have the iron to change direction when new evidence comes up.",6/8/20,58,Circuit Breaker,63,3,-10.16090094,11,2,2,9.203744806,1,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Ge kiang lor Sent from POFMA - Only I have the Truth  using GAGT,6/8/20,13,Circuit Breaker,14,1,-16.28279205,3,0,1,20.83225589,3,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"kyo_465 wrote: because they work on scientific evidence at that point of time, not whether you get a hard on in the morning or not. Hindsight is always 20/20. At least they have the iron to change direction when new evidence comes up. certain decision could be made like ask public to improvise mask and compulsory to wear them, rather than pappy taking statement from WHO and told public no sick no need wear mask. obviously they are relaxing the measures and trying to save few weeks of their own economy.",6/8/20,90,Circuit Breaker,92,3,-10.54267677,18,5,1,4.857875944,0,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"PeanutButtor wrote: certain decision could be made like ask public to improvise mask and compulsory to wear them, rather than pappy taking statement from WHO and tell public no sick no need wear mask. obviously they are relaxing the measures and trying to save few weeks of their own economy. So as a small nation who has nothing but the international organisations to fall back on decide to act unilaterally, you are no different like China and USA who listens to whatever suits their ears. So in the future what is your selling point to the world?",6/8/20,97,Circuit Breaker,97,3,-10.7469001,20,5,2,3.665465575,0,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"at the beginning they went with ""healthy no mask"", but permitted FT to import cartons of masks out of the country. epic logic oh wait. is it because of that laspe thats why healthy no mask?",6/8/20,36,Circuit Breaker,36,2,-11.4429722,6,1,0,11.11554065,2,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,No lky liao. So no more ironman,6/8/20,7,Circuit Breaker,7,0,-13.96849236,0,0,0,106.4913813,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"cuz ""No blame culture"" and they know that GRCs protects them from their mistakes.",6/8/20,14,Circuit Breaker,14,1,-11.92424396,2,1,0,26.8352074,3,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Shinji.Ikari wrote: we pay them millions for what... since they don't have the iron in them to do drastic measures... No leadershit mah \U0001f644,6/8/20,21,Circuit Breaker,25,1,-12.79101881,6,0,1,26.3301345,3,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"kyo_465 wrote: So as a small nation who has nothing but the international organisations to fall back on decide to act unilaterally, you are no different like China and USA who listens to whatever suits their ears. So in the future what is your selling point to the world? china was practical and took the decision quick, US was and is not. so our expensive advance health system isn't advance at all...",6/8/20,71,Circuit Breaker,72,3,-10.26612708,14,3,4,4.628533244,0,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"PeanutButtor wrote: china was practical and took the decision quick, US was and is not. so our expensive advance health system isn't advance at all... I am surprised anyone wants to believe China and not SG. China can declare zero cases anytime they want.",6/8/20,43,Circuit Breaker,44,2,-10.94536328,12,2,2,7.05442124,1,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"yes, and stir up  a panic buy, further reduce supply of masks for frontline workers. since authoritative figure says masks is not required for healthy, and there's an acute shortage of masks at that moment,  they took the most sensible and logical actions, which is to ensure front line workers has adequate supply, while sourcing for alternative supply. easy to comment when you don't have to bear consequences. PeanutButtor wrote: certain decision could be made like ask public to improvise mask and compulsory to wear them, rather than pappy taking statement from WHO and told public no sick no need wear mask. obviously they are relaxing the measures and trying to save few weeks of their own economy.",6/8/20,116,Circuit Breaker,118,4,-11.30101921,27,7,1,3.455626417,0,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,If lky sure no nonsense,6/8/20,5,Circuit Breaker,5,0,-13.18155914,0,0,0,106.4913813,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"Shinji.Ikari wrote: we pay them millions for what... since they don't have the iron in them to do drastic measures... Since we are paying them millions, with their Bonus component dependent on GDP performance, ironically it has created an overly cautious approach to delay the lockdown as much as possible til too late Hongkan, LOL. This nonsense will only stop if PAP is removed, which is unlikely for the next 100 yrs, largely due to the 70% and the buaykanness of the opposition parties.",6/8/20,80,Circuit Breaker,85,3,-11.56825492,14,5,2,4.108067571,0,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"zero new case, economy back on track, no further death, everything back to normal. nothing to see there. kyo_465 wrote: I am surprised anyone wants to believe China and not SG. China can declare zero cases anytime they want.",6/8/20,39,Circuit Breaker,39,2,-11.04374051,8,1,1,8.665609185,1,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,If gov simply shutdown for 1 month. Then opp IB will say gov take an easy way out. Next IB will kpkb why pay the minister so high salary.,6/8/20,28,Circuit Breaker,29,2,-12.54057537,6,0,0,14.94715825,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Iron became soft liao can not be used any more?,6/8/20,10,Circuit Breaker,10,0,-11.8986129,3,0,0,56.27175551,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"VEF888 wrote: zero new case, economy back on track, no further death, everything back to normal. nothing to see there. yah right. And I am sure they have a vaccine which the world can use tml. You wanna try it?",6/8/20,40,Circuit Breaker,40,2,-10.87058555,7,0,1,10.49172631,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Not enforcing wearing masks initially is the main cause for the high infection rates . Oh well..Next time if there is a similar outbreak they will know what to do.  ...,6/8/20,30,Circuit Breaker,30,2,-10.53813884,6,2,0,11.67582871,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"DragonBlack wrote: Since we are paying them millions, with their Bonus component dependent on GDP performance, ironically it has created an overly cautious approach to delay the lockdown as much as possible til too late Hongkan, LOL. This nonsense will only stop if PAP is removed, which is unlikely for the next 100 yrs, largely due to the 70% and the buaykanness of the opposition parties. Who talks about GDP growth during such times? And as if a small open country like singapore has any real control over their GDP. When US / China sneezes, everyone catches a cold. Singapore catches Pneumonia.",6/8/20,99,Circuit Breaker,101,4,-11.85965273,14,7,2,2.54794032,0,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,kyo_465 wrote: yah right. And I am sure they have a vaccine which the world can use tml. You wanna try it? y not u try first. you are fine supporter and believer...,6/8/20,33,Circuit Breaker,33,2,-11.28947973,8,1,1,12.05424284,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"that should be the correct pay scale, when you are paying a regional HQ CEO 5m to 10m who's only in charge of  10 -50K people  or less. just vote them out if you are unhappy. and if enough people are unhappy, they will be voted out. If majority are happy, who are the minority to tell the majority they are wrong/duff? Fortune 500 CEOs are paid from double to 5,000 times more than their employees: https://www.marketwatch.com/story/fo...ees-2018-05-16 DragonBlack wrote: Since we are paying them millions, with their Bonus component dependent on GDP performance, ironically it has created an overly cautious approach to delay the lockdown as much as possible til too late Hongkan, LOL. This nonsense will only stop if PAP is removed, which is unlikely for the next 100 yrs, largely due to the 70% and the buaykanness of the opposition parties.",6/8/20,134,Circuit Breaker,144,4,-11.55079781,24,9,3,2.290583292,0,1,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,honeyNsugar wrote: Not enforcing wearing masks initially is the main cause for the high infection rates . Oh well..Next time if there is a similar outbreak they will know what to do.  ... Masks will not save you. Good personal hygiene and social distancing will.,6/8/20,44,Circuit Breaker,44,2,-11.14361066,8,3,0,8.499616541,1,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"obviously, i wasn't sarcastic enough . kyo_465 wrote: yah right. And I am sure they have a vaccine which the world can use tml. You wanna try it?",6/8/20,26,Circuit Breaker,27,2,-11.72624047,7,0,2,16.87838266,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,just follow our neighbour up north do a FULL LOCKDOWN for gods sake,6/8/20,13,Circuit Breaker,13,1,-13.13677489,3,0,1,26.40715086,3,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,PeanutButtor wrote: y not u try first. you are fine supporter and believer... I believe in China as much as I believe that opposition will make any headway in the coming GE. But never say never. Maybe opposition will suddenly get smarter and China will be trustworthy. Hey I saw a flying pig outside my balcony.,6/8/20,56,Circuit Breaker,56,3,-10.90046812,12,4,3,6.30798024,1,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"VEF888 wrote: yes, and stir up  a panic buy, further reduce supply of masks for frontline workers. since authoritative figure says masks is not required for healthy, and there's an acute shortage of masks at that moment,  they took the most sensible and logical actions, which is to ensure front line workers has adequate supply, while sourcing for alternative supply. easy to comment when you don't have to bear consequences. where is panic buy when the stocks were already hoarded by gov. they have dozen of ministerial brains paid well to do thinking and job. if not, just give their jobs to foreigners to do the thinking for them.",6/8/20,107,Circuit Breaker,109,4,-10.98260219,25,6,1,3.753135749,0,0,1
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,We could have been like taiwan or hong kong,6/8/20,9,Circuit Breaker,9,0,-13.30196958,2,1,0,36.84829056,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"talk is cheap...what is 100% shutdown? all stay at home, no deliveries allowed? possible or not first?",6/8/20,17,Circuit Breaker,18,1,-10.12979518,4,1,0,36.2041065,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"kyo_465 wrote: Masks will not save you. Good personal hygiene and social distancing will. Such bullshiet, only kumgong will believe Sent from Rain Rain Go Away using GAGT",6/8/20,28,Circuit Breaker,28,2,-13.9886699,5,1,0,11.11554065,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Incompetency is the only word i can think of.,6/8/20,9,Circuit Breaker,9,0,-10.49583761,2,0,1,36.84829056,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,kyo_465 wrote: I believe in China as much as I believe that opposition will make any headway in the coming GE. But never say never. Maybe opposition will suddenly get smarter and China will be trustworthy. Hey I saw a flying pig outside my balcony. You saw char azn ? Your fellow IB boyfriend ? Sent from Rain Rain Go Away using GAGT,6/8/20,61,Circuit Breaker,61,3,-12.04073081,12,3,3,4.886027698,0,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,Iron fist died after LKY,6/8/20,5,Circuit Breaker,5,0,-14.41212969,1,0,0,36.84829056,4,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,They scared once go into pit stop den lose the lead. Den decided to go in but only refill fuel. Now running on worn out tyres.,6/8/20,26,Circuit Breaker,26,2,-11.74850886,8,1,0,18.76957494,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"hoarded in order to provide for frontline workers, at any time did you see ANY frontline complain about not having enough PPE? DID you see any frontline workers whithout a mask on serving the people? 5m masks x 30 days  x 3 months = 450m mask needed. always easy to talk, when you don't do the maths or bear the consequences. PeanutButtor wrote: where is panic buy when the stocks were already hoarded by gov. they have dozen of ministerial brains paid well to do thinking and job. if not, just give their jobs to foreigners to do the thinking for them.",6/8/20,96,Circuit Breaker,101,4,-11.57337528,23,4,3,3.061797917,0,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,dxdx999 wrote: You saw char azn ? Your fellow IB boyfriend ? Sent from Rain Rain Go Away using GAGT Difficult to explain to you. The opposition has vacancies to fill for the upcoming election to be part of the Tekong GRC. You are perfect for the job. My flying pig will vote for you while I have my Char Siew Rice for lunch.,6/8/20,62,Circuit Breaker,62,3,-12.31254993,11,1,4,3.784198184,0,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"mirukuboi wrote: If they had not overlooked the potential time bomb of the dormitories, their strategies would have largely worked. Yeah. The dorm was the bomb.",6/8/20,26,Circuit Breaker,26,2,-10.61243001,6,1,0,18.76957494,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,layzibum22 wrote: Yeah. The dorm was the bomb. Nagasaki and Hiroshima style.,6/8/20,12,Circuit Breaker,12,1,-11.60614643,2,1,0,16.87838266,2,0,0
why SG ministers don't have the iron to do 100% shutdown & enforce mask wearing early???,16/6/20 14:26,"kyo_465 wrote: Difficult to explain to you. The opposition has vacancies to fill for the upcoming election to be part of the Tekong GRC. You are perfect for the job. My flying pig will vote for you while I have my Char Siew Rice for lunch. tio pwn liao, then say difficult to explain and give nonsensical replies In before, hindsight excuses, and not happy go overseas lo Sent from Rain Rain Go Away using GAGT",6/8/20,76,Circuit Breaker,76,3,-12.42654487,14,3,3,3.246582888,0,0,0
